Empresa;Turno;Día de la semana;Experiencia del conductor;Formación del Paramédico;Nivel del Paramédico;Cantidad de atenciones;Distancia recorrida (Km);Velocidad máxima (Km/h);Consumo de combustible (Galones);Tiempo en Movimiento (h);Tiempo motor ON (h)
TAD;N;4;Principiante;1;B;5;52;85;1.9;2.6;3.12
TAE;D;2;Principiante;2;I;8;78;84;2.9;3;4.8
TAC;N;3;Principiante;1;I;7;67.6;87;3.3;2.6;4.42
TAB;N;4;Principiante;3;I;9;93.6;87;3.8;3.6;5.04
TAC;D;6;Experto;1;B;6;62.5;106;2.2;2.5;3
TAC;D;4;Principiante;4;I;8;77.5;86;3.3;3.1;4.03
TAP;N;5;Intermedio;2;B;6;58.8;94;3;2.8;3.36
TAE;N;3;Principiante;3;I;8;75.6;86;3.1;2.8;3.08
TAP;N;4;Intermedio;1;I;8;84.1;92;3.2;2.9;4.64
TAD;D;1;Principiante;1;B;6;62.5;86;2.1;2.5;3.75
TAB;D;4;Principiante;1;B;6;62.1;88;2.2;2.7;4.59
TAC;D;7;Principiante;4;I;8;78;87;3.4;3;3.9
TAC;D;7;Intermedio;1;A;9;94.5;89;3.7;3.5;4.55
TAB;N;7;Intermedio;4;B;7;67.2;93;2.6;2.4;2.64
TAE;N;2;Intermedio;1;B;7;70.2;96;2.3;2.6;4.16
TAC;N;2;Intermedio;2;I;8;78.3;92;3.5;2.9;4.35
TAC;D;4;Intermedio;1;B;6;59.8;94;2.3;2.6;2.86
TAC;D;4;Intermedio;2;B;6;60;93;2.5;2.5;4
TAC;D;2;Intermedio;2;B;7;71.3;91;3;3.1;4.96
TAB;D;2;Principiante;2;B;6;62;82;2.3;3.1;5.58
TAC;N;7;Principiante;4;I;9;87.5;87;3.6;3.5;5.6
TAP;N;4;Principiante;3;B;6;64;84;2.8;3.2;3.52
TAD;D;7;Principiante;4;B;5;54.6;85;2.3;2.6;4.16
TAB;N;3;Principiante;2;I;7;66;84;2.9;3;4.2
TAB;N;5;Principiante;3;I;7;70.2;86;2.8;2.6;3.64
TAB;N;1;Intermedio;4;B;6;56;93;2.6;2.8;3.08
TAE;D;3;Principiante;3;A;10;95.2;86;4.1;3.4;3.74
TAC;D;5;Intermedio;1;B;6;60;89;3.1;3;4.5
TAD;D;2;Intermedio;2;I;8;84;94;2.9;3;4.2
TAB;N;6;Principiante;1;I;7;72.8;74;3.5;2.6;2.86
TAC;D;4;Intermedio;4;B;7;70;92;2.5;2.5;4.25
TAC;N;4;Intermedio;2;B;7;72.9;91;2.7;2.7;3.24
TAE;N;2;Intermedio;4;I;8;84;89;3.4;3.5;4.9
TAB;D;7;Intermedio;2;B;5;52;89;2.2;2.6;4.68
TAP;N;6;Intermedio;2;B;7;68.2;91;2.9;3.1;4.96
TAC;N;6;Intermedio;3;B;6;60;90;2.6;2.4;3.84
TAE;N;3;Principiante;1;B;6;62.5;86;2.4;2.5;2.75
TAE;D;3;Intermedio;2;B;6;56.7;95;2;2.7;3.51
TAB;D;5;Principiante;4;I;7;67.6;85;3.2;2.6;2.86
TAE;N;6;Intermedio;3;B;7;66;93;2.6;3;4.2
TAB;N;7;Intermedio;1;I;7;70;96;2.7;2.8;3.08
TAB;D;5;Principiante;1;B;6;63.8;87;2.1;2.9;3.77
TAB;N;7;Intermedio;1;A;9;86.4;93;3.6;3.2;4.48
TAD;N;7;Principiante;1;I;9;87;79;3.8;3;4.8
TAD;N;7;Intermedio;1;B;6;65;92;2.6;2.5;2.75
TAD;N;2;Principiante;2;B;5;52.8;84;1.4;2.4;2.64
TAD;D;7;Intermedio;4;I;7;67.6;89;2.9;2.6;2.86
TAB;N;6;Experto;3;I;8;83.2;102;3.6;3.2;4.8
TAB;D;1;Principiante;1;B;6;58.8;88;2.2;2.8;5.04
TAD;D;7;Intermedio;4;I;7;66.7;90;2.3;2.3;2.99
TAD;N;5;Intermedio;2;I;8;75.4;97;3.1;2.6;4.16
TAE;D;4;Intermedio;2;I;8;75.4;96;3.2;2.6;3.12
TAD;D;2;Principiante;4;B;6;55.2;86;1.6;2.4;3.6
TAE;D;2;Intermedio;2;A;10;95.7;91;4.5;3.3;5.28
TAE;N;4;Intermedio;1;B;6;62;97;2.6;3.1;5.27
TAC;D;5;Principiante;4;I;7;72.5;83;3.6;2.5;3.25
TAB;D;7;Intermedio;2;B;6;62;91;2.1;3.1;3.72
TAP;N;5;Intermedio;4;B;6;59.4;94;2.4;2.7;4.86
TAP;D;1;Principiante;3;B;6;56.7;81;2.6;2.7;4.32
TAB;N;2;Principiante;4;B;6;60.9;87;2.7;2.9;4.93
TAC;D;3;Intermedio;4;B;5;54.6;98;2.4;2.6;4.16
TAP;D;4;Intermedio;2;I;8;82.5;94;3.4;3.3;5.61
TAE;D;3;Intermedio;2;B;6;56;95;2.4;2.8;4.76
TAC;D;4;Intermedio;3;I;8;78.3;90;3.1;2.9;3.77
TAB;D;2;Intermedio;2;B;6;59.8;89;2.7;2.6;4.16
TAP;D;2;Principiante;2;I;7;69.6;88;3;2.9;5.22
TAP;N;3;Intermedio;4;B;6;58.8;98;2.2;2.8;3.08
TAB;D;3;Intermedio;4;B;7;72.9;95;2.8;2.7;4.59
TAP;N;7;Intermedio;3;I;8;75.6;89;2.9;2.8;3.36
TAC;N;3;Intermedio;3;B;6;57.2;90;2.5;2.6;4.68
TAB;N;3;Principiante;2;B;6;56.7;82;2.3;2.7;3.78
TAB;N;1;Intermedio;3;B;6;58.8;89;2.7;2.8;4.2
TAP;D;1;Intermedio;1;B;5;52.8;94;2.2;2.2;3.52
TAD;D;4;Principiante;4;I;7;72.5;88;3.1;2.9;3.48
TAC;N;5;Intermedio;2;B;6;59.8;97;2.4;2.6;3.12
TAB;D;5;Intermedio;2;B;6;60.9;98;2.9;2.9;4.64
TAE;N;7;Intermedio;3;I;8;78.3;89;2.8;2.9;4.06
TAE;D;1;Intermedio;4;I;8;78;89;3.2;3;4.2
TAC;N;7;Principiante;4;B;6;64;84;2.6;3.2;3.84
TAP;N;4;Intermedio;4;A;9;89.6;96;3.9;3.2;5.76
TAD;N;3;Principiante;2;A;10;101.5;76;4.5;3.5;5.6
TAC;D;6;Intermedio;4;B;5;54.6;91;2.2;2.6;3.38
TAB;N;1;Principiante;3;I;8;76.8;81;3.1;3.2;4.48
TAC;N;2;Principiante;1;B;6;58.8;82;2.5;2.1;3.15
TAC;N;1;Intermedio;1;B;6;58.8;94;2.7;2.8;4.76
TAP;N;5;Principiante;4;I;7;66.7;83;2.9;2.3;3.22
TAD;D;2;Principiante;4;B;4;44.1;87;1.5;2.1;3.57
TAD;D;6;Principiante;4;B;6;65;86;2.3;2.6;3.12
TAP;D;1;Intermedio;4;B;6;64.8;90;2.7;2.4;3.36
TAB;D;5;Intermedio;4;B;6;62;94;2.6;3.1;3.41
TAC;N;3;Intermedio;3;A;9;87;97;3.7;3;3.6
TAP;D;4;Principiante;1;I;7;66.7;87;2.5;2.9;4.93
TAP;N;2;Intermedio;3;A;10;95.2;93;4.6;3.4;4.08
TAB;N;1;Intermedio;1;I;8;78.3;98;3.3;2.9;3.48
TAE;D;6;Principiante;4;B;5;54.6;79;2.3;2.6;4.42
TAP;N;1;Principiante;2;I;8;78.4;83;3.3;2.8;3.36
TAB;N;4;Intermedio;4;B;7;70.2;94;3;2.7;3.78
TAP;N;1;Intermedio;4;B;6;65;91;2.7;2.5;3.5
TAC;D;2;Intermedio;2;I;8;78.3;89;3.6;2.9;4.93
TAP;N;3;Intermedio;3;B;6;55.2;91;1.6;2.3;4.14
TAB;N;2;Intermedio;3;B;6;62;90;2.7;3.1;4.65
TAE;N;1;Intermedio;1;I;8;75.6;93;2.9;2.7;4.59
TAB;D;6;Intermedio;3;I;9;89.1;91;3.5;3.3;5.28
TAC;N;2;Intermedio;1;B;5;48.3;91;2;2.1;3.57
TAP;N;5;Principiante;1;I;8;78.3;87;3.4;2.9;3.19
TAP;N;1;Principiante;1;I;8;78.4;86;3.8;2.8;4.48
TAB;N;7;Intermedio;2;I;7;69.3;90;2.6;3.3;4.62
TAB;D;3;Intermedio;4;B;7;67.5;93;3.5;2.7;3.78
TAC;D;5;Principiante;3;B;6;58;87;2.5;2.9;3.19
TAC;N;6;Principiante;2;I;7;71.3;87;3;3.1;4.34
TAE;N;5;Principiante;1;B;6;60.9;84;2.9;2.9;3.77
TAD;D;2;Principiante;4;I;7;70;88;2.7;2.8;3.08
TAC;D;7;Intermedio;2;B;6;63.8;94;2.9;2.9;4.35
TAD;D;3;Intermedio;2;I;8;75.6;98;3.4;2.8;3.92
TAP;N;1;Intermedio;1;B;6;64.8;91;2.4;2.7;4.32
TAE;N;5;Intermedio;1;B;5;50.4;96;2;2.4;2.88
TAE;D;1;Intermedio;2;B;7;68.2;94;2.9;3.1;4.03
TAC;D;4;Principiante;2;B;6;63;87;2.4;3;4.8
TAB;D;5;Intermedio;1;B;7;66.7;92;2.4;2.9;4.35
TAB;D;4;Intermedio;3;I;8;80.6;91;3.1;3.1;4.03
TAC;D;1;Principiante;2;I;7;70.2;88;2.5;2.7;3.51
TAE;N;1;Principiante;3;A;9;86.4;87;3.5;3.2;3.52
TAB;D;7;Intermedio;1;B;5;54;93;2;2.7;4.32
TAE;N;5;Principiante;3;B;5;46.2;82;2;2.2;3.74
TAB;N;6;Principiante;4;I;8;78.4;86;3.6;2.8;4.2
TAD;D;4;Principiante;4;I;8;75.6;84;3;2.8;4.48
TAC;N;5;Principiante;2;I;8;81;88;3.8;3;5.4
TAP;D;3;Principiante;3;A;9;87;88;3.6;3;4.5
TAC;D;5;Intermedio;3;I;7;67.6;90;2.8;2.6;4.42
TAD;N;2;Intermedio;1;I;9;89.6;94;3.5;3.2;3.52
TAD;N;2;Intermedio;2;B;6;55.2;97;2.4;2.4;3.84
TAD;N;1;Experto;4;B;7;72.9;101;3.1;2.7;4.32
TAD;D;7;Principiante;4;I;7;68.2;88;2.9;3.1;4.03
TAP;D;4;Intermedio;2;B;7;67.5;96;2.5;2.7;2.97
TAB;D;4;Principiante;1;B;6;60.9;87;2.5;2.9;3.19
TAB;D;4;Principiante;3;B;6;64.4;87;2.7;2.8;4.2
TAE;D;1;Experto;1;A;10;98;99;4.2;3.5;5.25
TAC;D;3;Principiante;4;I;8;78.3;87;3.2;2.9;4.35
TAB;D;3;Intermedio;3;I;8;81;89;3.3;3;4.8
TAD;N;2;Intermedio;4;B;6;60;91;2.6;2.4;2.88
TAP;D;4;Principiante;2;I;7;70.2;82;2.5;2.6;4.42
TAD;D;5;Principiante;3;I;7;67.6;87;2.7;2.6;4.68
TAC;D;1;Principiante;2;I;8;75.4;83;3.4;2.6;4.42
TAB;D;4;Principiante;1;A;9;87;84;3.8;3;4.8
TAD;N;4;Intermedio;3;I;7;66;90;2.2;3;3.3
TAE;D;5;Intermedio;4;B;6;60;89;2.6;2.5;3.25
TAE;N;3;Intermedio;1;I;8;75.9;92;2.7;3.3;5.61
TAD;D;1;Intermedio;4;B;6;58.8;91;2.3;2.8;3.08
TAC;D;7;Intermedio;4;B;6;63.8;93;2.5;2.9;5.22
TAC;N;1;Principiante;4;I;8;78;88;3.4;3;4.5
TAE;N;2;Principiante;2;I;8;81;87;3.4;3;3.6
TAE;N;6;Intermedio;4;B;6;64.4;94;2.7;2.8;3.36
TAB;N;3;Principiante;2;I;8;83.2;88;3.5;3.2;5.12
TAB;N;5;Principiante;3;I;7;66;84;2.5;3;5.1
TAC;N;2;Intermedio;4;B;6;61.6;94;2.4;2.8;3.64
TAC;D;7;Intermedio;2;I;7;70;90;2.5;2.5;4.5
TAB;N;3;Intermedio;1;B;7;70;95;2.8;2.8;5.04
TAC;D;3;Principiante;4;I;7;70;79;2.8;3.5;5.95
TAD;N;5;Principiante;3;I;8;78.2;88;3.5;3.4;5.44
TAC;N;2;Intermedio;1;B;7;67.5;93;2.7;2.5;4
TAC;D;1;Experto;2;B;6;55.2;100;2.6;2.4;3.84
TAE;D;2;Intermedio;4;B;6;56;97;2.1;2.8;3.64
TAC;D;1;Intermedio;1;I;8;78.3;91;3.2;2.7;3.51
TAC;N;7;Intermedio;3;B;6;58.8;92;2.3;2.8;4.76
TAC;N;5;Intermedio;3;I;8;78.4;92;3.4;2.8;4.76
TAB;D;5;Principiante;3;I;8;84;85;3.6;3.5;5.95
TAB;D;3;Intermedio;3;I;8;77.5;97;3.1;3.1;4.03
TAB;N;6;Principiante;2;I;7;70;87;2.8;2.5;3.25
TAP;N;1;Intermedio;3;B;6;63;96;2.7;3;4.5
TAB;N;6;Principiante;2;I;7;72;89;3.1;3;4.5
TAB;N;6;Intermedio;2;I;8;75.4;90;3.1;2.9;4.35
TAD;D;4;Principiante;1;I;9;89.6;87;3.8;3.2;4.48
TAD;N;4;Intermedio;3;I;8;81;92;3.1;3;4.2
TAB;N;1;Intermedio;3;B;6;56;92;2.2;2.8;4.76
TAC;D;3;Intermedio;1;B;7;67.5;91;2.8;2.7;4.32
TAB;D;7;Intermedio;2;B;6;60.9;89;2.2;2.9;5.22
TAP;N;2;Intermedio;4;B;6;62.1;94;2.5;2.7;4.32
TAP;D;7;Principiante;3;I;7;66;86;2.5;3.3;5.28
TAD;D;3;Intermedio;1;B;7;66.7;96;2.7;2.9;3.48
TAP;N;2;Principiante;4;I;7;70.2;86;3.3;2.6;4.68
TAB;D;1;Principiante;2;I;7;72.9;83;3.1;2.7;2.97
TAD;N;7;Intermedio;3;B;5;54.6;91;2.8;2.6;2.86
TAD;D;2;Intermedio;1;B;6;58.8;90;2.5;2.8;3.36
TAD;D;3;Intermedio;1;B;7;70.2;92;2.8;2.7;4.86
TAD;D;5;Principiante;1;I;7;65.1;83;2.3;3.1;4.03
TAC;D;7;Intermedio;2;B;6;58;96;2.5;2.9;3.77
TAB;N;2;Intermedio;4;B;7;67.6;93;2.4;2.6;3.12
TAB;N;5;Intermedio;2;A;9;90;93;4.2;3.6;6.48
TAD;D;6;Intermedio;1;B;5;54;96;1.7;2.7;3.24
TAB;N;6;Principiante;2;I;7;66.7;88;2.8;2.3;3.68
TAP;D;6;Intermedio;4;A;9;87.5;92;3.5;3.5;6.3
TAE;N;6;Intermedio;1;I;8;78.3;92;3.7;2.9;3.48
TAP;D;5;Principiante;2;B;6;64.8;89;2.7;2.7;2.97
TAC;N;6;Intermedio;1;B;7;69;98;2.8;3;4.5
TAE;D;5;Intermedio;3;B;7;70;91;3.2;2.8;4.76
TAB;D;1;Principiante;3;B;6;60;82;3;3;5.4
TAD;D;2;Intermedio;2;I;7;65.1;90;1.9;3.1;5.58
TAD;D;2;Intermedio;1;B;7;66;96;2.3;3;4.5
TAB;N;1;Intermedio;4;B;7;66.7;95;2.9;2.9;4.06
TAB;D;7;Intermedio;3;I;7;66;89;2.7;3.3;5.94
TAC;D;4;Intermedio;2;B;6;58.8;90;1.8;2.8;3.36
TAD;D;4;Intermedio;3;I;8;83.2;94;3.8;3.2;4.8
TAE;N;5;Intermedio;2;B;6;58;91;2.5;2.9;5.22
TAE;D;5;Intermedio;4;B;7;70;91;2.6;2.8;3.08
TAC;N;7;Intermedio;1;I;8;78.3;97;3.1;2.9;3.48
TAB;N;3;Principiante;3;I;8;75.4;86;3.5;2.9;5.22
TAE;D;7;Intermedio;3;B;6;59.4;95;2.3;2.7;2.97
TAE;N;4;Intermedio;2;A;9;86.4;93;3.6;3.2;4.8
TAB;N;6;Principiante;4;I;7;70;88;3;2.5;4.5
TAE;D;1;Principiante;2;I;7;72.8;86;3;2.8;3.92
TAB;D;4;Principiante;2;B;6;57.6;88;2.4;2.4;4.32
TAB;N;5;Intermedio;4;B;7;72;95;2.7;3;3.3
TAB;D;2;Principiante;2;I;7;72.5;88;2.4;2.5;4.25
TAB;N;3;Intermedio;1;I;9;87;90;3.7;3;4.8
TAD;D;7;Principiante;2;I;8;75.4;87;3;2.9;4.93
TAP;N;7;Intermedio;2;I;8;75.6;92;3.5;2.7;4.59
TAD;D;2;Intermedio;4;I;8;85;95;3;3.4;4.76
TAD;N;5;Principiante;2;I;8;84.1;81;3.4;2.9;4.64
TAC;D;4;Intermedio;1;B;6;62.5;93;2.7;2.5;2.75
TAC;D;4;Principiante;2;I;7;71.4;84;2.9;3.4;4.08
TAB;N;7;Intermedio;1;B;6;60;97;2.5;2.5;3.25
TAB;D;4;Intermedio;4;B;6;55.2;94;2.6;2.4;2.64
TAD;D;4;Intermedio;4;B;7;68.2;91;3.4;3.1;5.27
TAC;D;1;Intermedio;3;B;5;48;91;2.6;2.4;3.84
TAB;D;4;Intermedio;2;B;6;60;91;2.5;3;4.2
TAC;N;3;Intermedio;2;B;5;52.8;92;2.5;2.2;2.64
TAD;D;2;Intermedio;3;B;6;63.8;90;2.9;2.9;4.93
TAE;D;3;Intermedio;4;I;8;77.5;95;3;3.1;5.27
TAP;D;2;Intermedio;4;I;8;76.8;90;3.6;3.2;5.44
TAE;N;4;Intermedio;3;B;6;62.4;91;3.1;2.6;3.64
TAB;N;7;Intermedio;2;I;8;78.4;90;3.2;2.8;4.2
TAE;N;4;Intermedio;3;B;6;58;94;2.4;2.9;5.22
TAC;N;5;Intermedio;3;B;7;66.7;97;2.9;2.9;4.06
TAE;N;5;Intermedio;4;B;7;74.4;95;3.1;3.1;3.41
TAP;D;5;Principiante;2;I;7;67.6;87;2.9;2.6;3.38
TAB;N;7;Intermedio;1;I;8;78;93;3.3;3;4.5
TAC;N;4;Intermedio;4;B;6;55;92;2.6;2.5;4
TAC;D;2;Principiante;4;A;10;98;85;4.6;3.5;5.95
TAC;N;1;Principiante;3;B;6;65;83;2.5;2.6;3.9
TAB;N;1;Intermedio;2;B;5;54.6;90;2.2;2.6;3.9
TAD;D;3;Principiante;2;B;5;52;79;2.6;2.6;2.86
TAD;N;5;Intermedio;1;B;7;74.4;93;2.9;3.1;3.72
TAD;N;1;Principiante;4;I;8;81.2;86;3.6;2.8;4.2
TAP;D;3;Intermedio;3;B;6;62.1;95;2.2;2.7;4.32
TAE;N;6;Principiante;4;B;6;60;85;2.6;2.5;4
TAC;D;1;Intermedio;2;I;8;75.6;96;3.5;2.7;4.32
TAB;N;1;Intermedio;4;B;6;62.4;90;2.6;2.6;3.38
TAC;N;3;Intermedio;4;A;9;92.4;92;4.1;3.3;5.94
TAB;N;7;Experto;2;I;8;75;99;3.3;3;5.1
TAD;D;6;Intermedio;2;B;7;70.2;94;2.7;2.6;4.16
TAB;D;2;Principiante;1;I;7;70;84;2.2;2.5;3.5
TAD;N;1;Intermedio;3;B;6;62.4;92;2.3;2.6;4.42
TAP;N;7;Intermedio;4;B;7;67.2;94;2.9;3.2;3.52
TAB;N;1;Principiante;4;B;6;56;87;2.3;2.8;4.76
TAC;D;3;Principiante;4;I;8;78.4;86;3.6;2.8;3.64
TAC;N;4;Intermedio;2;B;5;50;93;2.2;2.5;2.75
TAB;N;4;Intermedio;4;I;8;81.2;93;2.9;2.8;4.76
TAC;N;4;Intermedio;1;I;8;75;91;3.3;3;5.4
TAC;N;1;Principiante;4;B;5;54;81;2.2;2.7;4.32
TAB;N;4;Experto;2;B;5;52.5;100;2.4;2.5;3.25
TAB;N;5;Intermedio;1;I;8;83.7;91;3.2;3.1;4.34
TAC;D;5;Intermedio;4;B;6;65;94;2.3;2.6;2.86
TAB;N;7;Principiante;4;B;6;65;84;2.8;2.6;4.16
TAC;D;2;Intermedio;3;I;7;70;90;3.3;2.5;2.75
TAD;N;4;Intermedio;3;B;6;57.2;98;2.1;2.6;4.16
TAD;D;1;Intermedio;1;B;7;67.2;96;2.5;2.8;3.08
TAD;D;1;Principiante;1;I;8;75.4;83;2.5;2.6;3.9
TAB;D;7;Intermedio;4;B;6;60;92;2.6;2.5;4.25
TAE;N;6;Intermedio;3;I;8;75.4;97;2.9;2.9;4.64
TAE;D;3;Intermedio;4;B;7;67.5;92;2.5;2.5;3.5
TAD;D;7;Principiante;3;I;7;73.6;89;3.3;3.2;4.16
TAE;D;5;Intermedio;1;I;8;75.6;97;3.4;2.7;2.97
TAE;D;4;Principiante;4;I;8;77.5;88;3.4;3.1;4.03
TAE;N;4;Intermedio;3;B;5;48.3;94;2.3;2.3;2.53
TAB;N;2;Intermedio;3;B;6;58.8;92;2.2;2.8;3.36
TAD;D;3;Principiante;4;I;7;70.4;87;2.6;3.2;5.76
TAB;D;3;Intermedio;4;B;5;46.2;89;1.3;2.2;2.86
TAB;D;7;Intermedio;4;I;8;75.6;93;3.2;2.8;3.64
TAC;N;6;Intermedio;2;I;7;67.2;92;3.2;2.4;3.84
TAD;N;3;Principiante;3;B;6;62.5;82;2.5;2.5;3.75
TAE;D;3;Intermedio;1;B;6;60.9;90;2.7;2.9;3.19
TAB;D;7;Intermedio;1;I;9;87;94;3.6;3;3.6
TAE;N;2;Intermedio;3;B;6;62.1;89;3;2.7;3.78
TAB;D;1;Principiante;3;I;7;72.5;83;2.9;2.5;4.25
TAB;N;3;Intermedio;2;I;8;83.7;97;3.6;3.1;4.65
TAE;D;1;Intermedio;1;A;9;86.8;93;3.4;3.1;5.27
TAB;D;3;Principiante;4;B;6;62.4;82;2.5;2.6;3.12
TAD;D;4;Principiante;1;I;8;75.6;86;2.9;2.7;3.51
TAB;N;7;Intermedio;2;I;7;70;90;2.9;2.5;2.75
TAD;D;3;Principiante;4;I;8;75.6;89;2.8;2.7;4.59
TAC;D;1;Principiante;2;B;6;60.9;82;2.4;2.9;4.64
TAC;N;2;Principiante;4;I;7;67.2;89;2.7;3.2;5.12
TAP;D;2;Principiante;3;I;8;75;87;3.6;3;5.1
TAD;D;2;Principiante;3;I;8;81.2;88;3;2.8;3.92
TAB;D;3;Experto;4;B;6;59.8;101;2.5;2.6;4.68
TAD;N;6;Principiante;4;B;5;50.4;85;2;2.4;4.32
TAB;D;5;Intermedio;2;I;8;78.4;91;3.2;2.8;3.36
TAP;D;2;Principiante;4;I;7;67.6;85;3.1;2.6;4.42
TAD;D;3;Principiante;4;B;6;57.5;88;2.5;2.5;3.75
TAD;D;5;Intermedio;1;I;8;78.3;95;3;2.9;3.19
TAB;D;4;Intermedio;4;B;6;56.7;96;2.5;2.1;2.52
TAE;D;2;Intermedio;1;B;6;59.4;89;2.9;2.7;4.32
TAB;N;4;Principiante;4;I;7;67.5;88;2.9;2.5;3.75
TAP;N;1;Intermedio;3;B;7;72;94;3.1;3;4.2
TAB;D;4;Intermedio;4;I;9;89.9;91;4.1;3.1;5.58
TAD;D;5;Intermedio;1;B;6;60.9;93;2.9;2.9;4.64
TAC;N;5;Principiante;4;I;8;75.4;84;3.4;2.9;4.06
TAC;N;7;Intermedio;4;I;8;77.5;90;3.5;3.1;4.03
TAC;N;7;Principiante;1;I;8;77.5;78;3.3;3.1;4.65
TAD;D;7;Intermedio;3;B;6;56.7;89;2.5;2.7;3.51
TAE;N;6;Intermedio;4;B;5;46;90;1.9;2.3;2.53
TAE;N;2;Principiante;3;I;7;70;87;3.3;2.8;3.08
TAB;N;5;Principiante;4;I;7;66.7;89;2.7;2.9;4.35
TAC;D;5;Principiante;2;A;9;86.8;89;2.8;3.1;5.27
TAB;D;2;Principiante;1;B;6;58.8;88;2.1;2.8;4.2
TAB;D;7;Intermedio;1;B;6;57.6;92;2.6;2.4;4.08
TAC;D;1;Intermedio;3;B;5;52.8;92;2.2;2.4;2.64
TAB;N;6;Principiante;4;I;7;72.8;84;2.8;2.8;4.48
TAB;N;6;Intermedio;1;I;8;75.4;89;3.3;2.9;3.48
TAB;N;3;Intermedio;1;B;5;48.3;95;2.3;2.3;3.68
TAD;N;1;Experto;1;B;5;52;105;2.4;2.6;3.64
TAP;N;3;Intermedio;2;I;8;75.9;94;3.1;3.3;3.63
TAC;N;4;Principiante;4;B;6;59.4;83;2.5;2.7;4.05
TAC;D;7;Principiante;4;B;6;64.4;85;3;2.8;3.64
TAC;N;1;Intermedio;3;B;6;56.7;93;1.9;2.7;4.59
TAD;N;4;Experto;2;B;6;62.1;103;2.9;2.7;2.97
TAB;N;6;Intermedio;3;B;5;50.4;93;2.2;2.1;3.15
TAC;N;1;Intermedio;1;I;7;67.6;90;2.5;2.6;4.68
TAC;D;7;Intermedio;2;B;6;55;92;2.5;2.5;3
TAB;N;3;Intermedio;3;B;6;64.8;93;2.4;2.7;3.24
TAC;D;6;Principiante;2;B;6;57.2;88;2.1;2.6;4.16
TAD;D;2;Intermedio;1;B;7;69.6;94;3.2;2.9;5.22
TAC;N;1;Principiante;4;I;8;78;88;3.6;3;4.5
TAB;N;4;Intermedio;1;B;6;58.8;94;2.8;2.8;4.2
TAE;D;2;Intermedio;2;B;6;56;93;2.7;2.8;4.2
TAB;D;6;Intermedio;2;B;5;52;93;1.9;2.6;3.38
TAC;D;7;Intermedio;1;I;7;67.2;89;2.6;2.4;2.88
TAE;D;6;Principiante;2;B;6;65;82;2.2;2.5;4.25
TAB;D;5;Intermedio;2;B;6;63.8;96;3.2;2.9;4.64
TAP;N;6;Intermedio;2;B;6;64;92;2.4;3.2;5.76
TAB;N;4;Principiante;1;I;7;65.1;82;2.6;3.1;3.72
TAC;N;7;Intermedio;1;B;7;72.8;91;3;2.8;3.36
TAB;N;5;Intermedio;4;B;6;56;89;3;2.8;3.08
TAB;D;7;Intermedio;2;B;7;68;94;3.2;3.4;4.08
TAE;N;7;Intermedio;4;I;8;81.2;95;3.1;2.8;4.48
TAB;D;6;Principiante;3;B;6;56;83;2;2.8;4.2
TAB;N;4;Intermedio;3;B;6;62.1;92;2.3;2.7;4.86
TAB;D;6;Intermedio;2;I;8;81;89;3.4;3;4.5
TAB;N;4;Intermedio;1;B;7;70;92;3.1;2.8;3.92
TAD;D;1;Intermedio;3;I;8;78.3;91;3.6;2.9;3.19
TAC;N;2;Principiante;1;I;7;66;84;2.7;3.3;4.95
TAE;N;6;Experto;3;B;7;72.9;101;3;2.7;3.78
TAE;N;5;Intermedio;2;B;6;56.7;90;2;2.7;3.51
TAP;D;6;Principiante;2;B;6;56.7;88;2.5;2.7;2.97
TAC;D;3;Intermedio;4;A;9;86.8;92;3.6;3.1;4.03
TAE;N;7;Principiante;3;B;6;59.4;76;2.5;2.7;4.32
TAC;N;3;Intermedio;1;B;7;72.5;91;3.1;2.9;4.64
TAD;D;6;Intermedio;1;B;6;63;90;2.9;3;5.1
TAC;N;7;Intermedio;4;I;8;81.2;89;3.4;2.8;3.36
TAC;D;4;Intermedio;1;B;6;61.6;95;2.5;2.8;4.76
TAC;N;6;Intermedio;4;B;6;62;91;3.4;3.1;3.72
TAP;D;6;Principiante;4;B;5;54;86;2.4;2;2.4
TAP;D;4;Intermedio;2;B;5;52;91;2.2;2.6;4.42
TAC;D;4;Intermedio;3;B;7;67.2;91;2.5;3.2;4.48
TAC;N;5;Principiante;1;B;6;62.4;86;2.6;2.6;3.9
TAB;N;1;Intermedio;1;B;7;72.8;93;3.4;2.8;3.36
TAC;N;5;Principiante;2;A;9;92.4;87;3.9;3.3;3.96
TAC;D;1;Intermedio;4;I;8;75.4;96;3.2;2.6;4.42
TAP;D;3;Intermedio;2;I;8;78.3;93;3.7;2.9;4.06
TAP;N;6;Experto;2;I;9;89.9;101;3.5;3.1;5.27
TAP;N;1;Principiante;1;I;7;67.2;88;2.3;2.8;3.08
TAE;N;3;Principiante;2;I;8;75;85;3.2;3;4.2
TAD;D;4;Intermedio;4;B;6;55.2;93;2.2;2.4;2.64
TAD;D;5;Experto;4;B;7;66.7;100;2.7;2.9;4.93
TAP;N;4;Principiante;4;A;9;86.8;88;4.1;3.1;4.34
TAP;N;5;Intermedio;2;B;6;60.9;90;2.6;2.9;5.22
TAP;D;5;Experto;2;I;8;83.2;98;3.4;3.2;5.76
TAC;N;2;Principiante;1;I;8;81;78;3.7;3;5.4
TAB;N;5;Intermedio;2;B;5;52.9;97;2.2;2.3;2.99
